edad,genero,estrato,discapacidad,es_barranquilla,es_colombia,departamento,ciudad,pais,programa,semestre_actual,tipo_estudiante,tipo_admision,estado_academico,promedio,materias_cursadas,materias_perdidas,materias_repetidas,icfes_total,icfes_matematicas,icfes_lectura,icfes_ciencias,icfes_sociales,icfes_ingles,tipo_colegio,calendario_colegio,becado,graduado,perdidas_Dpto._Derecho,perdidas_Dpto._Lenguas_Extranjeras,perdidas_Dpto._Español,perdidas_Dpto._de_Economía,perdidas_Dpto._Humanidades_y_Filosofía,perdidas_Dpto._Psicología,perdidas_Dpto._Química_y_Biología,perdidas_Dpto._Salud_Pública,perdidas_Dpto._Ing._Civil_y_Ambiental,perdidas_Dpto._Odontología,perdidas_Dpto._Cs_Politica_y_Rel_Intern,perdidas_Dpto._Historia_y_Cs._Sociales,perdidas_Dpto._Ingeniería_de_Sistemas,perdidas_Dpto._Ingeniería_Mecánica,perdidas_Dpto._Finanzas_y_Contaduría,perdidas_Dpto._Diseño,perdidas_Dpto._Educación,perdidas_Dpto._Arquitectura_y_Urbanismo,perdidas_Dpto._Ingeniería_Industrial,perdidas_Dpto._Matematicas_y_estadístic,perdidas_Dpto._Emprendim_y_Management,perdidas_Dpto._Comunicación_Social,perdidas_Dpto._Música,perdidas_Dpto._Física,perdidas_Dpto.Ing_Eléctrica-Electrónica,perdidas_Dpto._Enfermería,perdidas_Dpto._Mercadeo_y_Neg._Internac,perdidas_Dpto._Medicina,desertor
17,0,5,0,0,1,5,174,5,6,1.0,1,3,5,3.47,13,9,1,213.0,46.0,37.0,41.0,43.0,54.0,1,0,1,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,1,0,0,1,34,83,5,12,1.0,1,3,5,3.82,11,5,1,257.0,60.0,52.0,49.0,43.0,56.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
17,0,2,0,0,1,23,226,5,25,1.0,1,3,1,4.03,9,6,0,380.0,77.0,74.0,70.0,75.0,100.0,1,0,0,0,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,4,0,1,1,8,18,5,16,1.0,1,3,5,4.18,10,5,0,374.0,78.0,74.0,73.0,73.0,78.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
18,1,4,0,0,1,37,193,5,9,1.0,1,3,5,3.52,11,5,0,323.0,64.0,65.0,61.0,66.0,72.0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,1,2,0,1,1,8,18,5,3,1.0,1,3,5,3.45,11,7,1,341.0,67.0,64.0,66.0,77.0,65.0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
17,1,2,0,0,1,12,39,5,0,0.0,1,3,5,3.46,11,7,1,290.0,60.0,57.0,54.0,58.0,67.0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,1,1,0,0,1,34,166,5,9,1.0,1,3,5,3.53,11,8,1,283.0,57.0,61.0,50.0,60.0,52.0,1,0,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
19,0,6,0,0,1,8,157,5,22,1.0,1,3,1,3.35,9,7,0,333.0,64.0,65.0,66.0,65.0,85.0,1,1,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
19,1,6,0,0,1,8,157,5,17,1.0,1,3,5,4.24,10,5,0,416.0,82.0,77.0,100.0,74.0,82.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
18,1,6,0,0,1,8,157,5,18,1.0,1,3,5,4.46,10,5,0,372.0,76.0,64.0,79.0,70.0,100.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
18,1,6,0,0,1,8,157,5,16,1.0,1,3,5,4.12,10,5,0,382.0,79.0,76.0,76.0,73.0,80.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
18,1,3,0,0,1,37,193,5,24,1.0,1,3,5,3.93,14,8,1,334.0,66.0,69.0,62.0,66.0,80.0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0
19,0,1,0,1,1,8,18,5,10,1.0,1,3,5,2.66,13,11,0,188.0,34.0,34.0,41.0,39.0,45.0,2,0,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,1
19,0,4,0,1,1,8,18,5,0,0.0,1,3,1,3.95,12,6,0,321.0,70.0,67.0,60.0,61.0,61.0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,0,3,0,1,1,8,18,5,18,1.0,1,3,9,3.33,12,9,3,318.0,68.0,62.0,59.0,63.0,70.0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
18,1,4,0,0,1,37,193,5,16,1.0,1,3,9,3.52,12,9,1,343.0,72.0,71.0,67.0,63.0,72.0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
18,0,1,0,0,1,23,226,5,24,0.0,1,3,5,3.44,14,10,2,285.0,53.0,54.0,61.0,57.0,65.0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,1,0,0
18,0,6,0,1,1,8,18,5,22,1.0,1,3,1,3.9,10,5,0,299.0,61.0,61.0,57.0,54.0,78.0,1,1,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,1,5,0,1,1,8,18,5,18,1.0,1,3,5,4.62,11,6,0,358.0,73.0,70.0,70.0,71.0,79.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
18,0,6,0,1,1,8,18,5,8,1.0,1,3,1,4.49,15,8,0,333.0,65.0,59.0,64.0,67.0,100.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
19,0,4,0,1,1,8,18,5,22,0.0,2,3,0,4.04,5,0,0,332.0,66.0,65.0,61.0,69.0,79.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
