desertor,edad,genero,estrato,discapacidad,es_barranquilla,es_colombia,departamento,ciudad,pais,programa,semestre_actual,tipo_estudiante,tipo_admision,estado_academico,promedio,materias_cursadas,materias_perdidas,materias_repetidas,icfes_total,icfes_matematicas,icfes_lectura,icfes_ciencias,icfes_sociales,icfes_ingles,tipo_colegio,calendario_colegio,becado,graduado,perdidas_Dpto._Derecho,perdidas_Dpto._Lenguas_Extranjeras,perdidas_Dpto._Español,perdidas_Dpto._de_Economía,perdidas_Dpto._Humanidades_y_Filosofía,perdidas_Dpto._Psicología,perdidas_Dpto._Química_y_Biología,perdidas_Dpto._Salud_Pública,perdidas_Dpto._Ing._Civil_y_Ambiental,perdidas_Dpto._Odontología,perdidas_Dpto._Cs_Politica_y_Rel_Intern,perdidas_Dpto._Historia_y_Cs._Sociales,perdidas_Dpto._Ingeniería_de_Sistemas,perdidas_Dpto._Ingeniería_Mecánica,perdidas_Dpto._Finanzas_y_Contaduría,perdidas_Dpto._Diseño,perdidas_Dpto._Educación,perdidas_Dpto._Arquitectura_y_Urbanismo,perdidas_Dpto._Ingeniería_Industrial,perdidas_Dpto._Matematicas_y_estadístic,perdidas_Dpto._Emprendim_y_Management,perdidas_Dpto._Comunicación_Social,perdidas_Dpto._Música,perdidas_Dpto._Física,perdidas_Dpto.Ing_Eléctrica-Electrónica,perdidas_Dpto._Enfermería,perdidas_Dpto._Mercadeo_y_Neg._Internac,perdidas_Dpto._Medicina
0,17,F,5,00- Ninguno,0,1,Archipielago de S.A.y Providen,San Andres,Colombia,Derecho,1.0,Estudiante regular,Ordinaria Pregrado,Normal,3.47,13,9,1,213.0,46.0,37.0,41.0,43.0,54.0,PRIVADO,A,No becado,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,M,1,00- Ninguno,0,1,La Guajira,Fonseca,Colombia,Geología,1.0,Estudiante regular,Ordinaria Pregrado,Normal,3.82,11,5,1,257.0,60.0,52.0,49.0,43.0,56.0,PRIVADO,A,No becado,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,17,F,2,00- Ninguno,0,1,Cesar,Valledupar,Colombia,Odontología,1.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,4.03,9,6,0,380.0,77.0,74.0,70.0,75.0,100.0,PRIVADO,A,Institucional,0,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,M,4,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Ingeniería Industrial,1.0,Estudiante regular,Ordinaria Pregrado,Normal,4.18,10,5,0,374.0,78.0,74.0,73.0,73.0,78.0,PRIVADO,A,Institucional,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
0,18,M,4,00- Ninguno,0,1,Magdalena,Santa Marta,Colombia,Economía,1.0,Estudiante regular,Ordinaria Pregrado,Normal,3.52,11,5,0,323.0,64.0,65.0,61.0,66.0,72.0,PRIVADO,A,No becado,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,18,M,2,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Ciencia de Datos,1.0,Estudiante regular,Ordinaria Pregrado,Normal,3.45,11,7,1,341.0,67.0,64.0,66.0,77.0,65.0,PRIVADO,A,Institucional,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,17,M,2,00- Ninguno,0,1,Bolivar,Cartagena,Colombia,Administración de Empresas,0.0,Estudiante regular,Ordinaria Pregrado,Normal,3.46,11,7,1,290.0,60.0,57.0,54.0,58.0,67.0,PRIVADO,A,No becado,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
0,21,M,1,00- Ninguno,0,1,La Guajira,Riohacha,Colombia,Economía,1.0,Estudiante regular,Ordinaria Pregrado,Normal,3.53,11,8,1,283.0,57.0,61.0,50.0,60.0,52.0,PRIVADO,A,No becado,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,19,F,6,00- Ninguno,0,1,Atlántico,Puerto Colombia,Colombia,Medicina,1.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,3.35,9,7,0,333.0,64.0,65.0,66.0,65.0,85.0,PRIVADO,B,No becado,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,19,M,6,00- Ninguno,0,1,Atlántico,Puerto Colombia,Colombia,Ingeniería Mecánica,1.0,Estudiante regular,Ordinaria Pregrado,Normal,4.24,10,5,0,416.0,82.0,77.0,100.0,74.0,82.0,PRIVADO,B,Institucional,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,18,M,6,00- Ninguno,0,1,Atlántico,Puerto Colombia,Colombia,Ingeniería Sistemas Y Computac,1.0,Estudiante regular,Ordinaria Pregrado,Normal,4.46,10,5,0,372.0,76.0,64.0,79.0,70.0,100.0,PRIVADO,B,Institucional,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,18,M,6,00- Ninguno,0,1,Atlántico,Puerto Colombia,Colombia,Ingeniería Industrial,1.0,Estudiante regular,Ordinaria Pregrado,Normal,4.12,10,5,0,382.0,79.0,76.0,76.0,73.0,80.0,PRIVADO,B,Institucional,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
0,18,M,3,00- Ninguno,0,1,Magdalena,Santa Marta,Colombia,Negocios Internacionales,1.0,Estudiante regular,Ordinaria Pregrado,Normal,3.93,14,8,1,334.0,66.0,69.0,62.0,66.0,80.0,PRIVADO,B,No becado,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0
1,19,F,1,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Enfermería,1.0,Estudiante regular,Ordinaria Pregrado,Normal,2.66,13,11,0,188.0,34.0,34.0,41.0,39.0,45.0,PÚBLICO,A,No becado,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2
0,19,F,4,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Administración de Empresas,0.0,Estudiante regular,Ordinaria Pregrado,Estudiante Distinguido,3.95,12,6,0,321.0,70.0,67.0,60.0,61.0,61.0,PRIVADO,A,Institucional,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1,18,F,3,00- Ninguno,1,1,Atlántico,Barranquilla,Colombia,Ingeniería Sistemas Y Computac,1.0,Estudiante regular,Ordinaria Pregrado,Periodo de prueba transitorio,3.33,12,9,3,318.0,68.0,62.0,59.0,63.0,70.0,PRIVADO,A,No becado,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0,18,M,4,00- Ninguno,0,1,Magdalena,Santa Marta,Colombia,Ingeniería Industrial,1.0,Estudiante regular,Ordinaria Pregrado,Periodo de prueba transitorio,3.52,12,9,1,343.0,72.0,71.0,67.0,63.0,72.0,PRIVADO,A,Institucional,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0
0,18,F,1,00- Ninguno,0,1,Cesar,Valledupar,Colombia,Negocios Internacionales,0.0,Estudiante regular,Ordinaria Pregrado,Normal,3.44,14,10,2,285.0,53.0,54.0,61.0,57.0,65.0,PRIVADO,A,No becado,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,1,0
